id,salary_in_usd
0,100382.4194573843
1,141769.2813575351
2,106007.03762139488
3,79294.84466375661
4,43223.94388098705
5,45282.21384485701
6,107340.58597953367
7,38542.20230614721
8,64750.25060856831
9,154264.6209229924
10,42745.05478833348
11,154408.30734905385
12,72760.12368032319
13,17139.19026256661
14,84204.27658564816
15,48923.696289896456
16,95286.42299903918
17,126797.7193292971
18,44094.704957652626
19,57337.125812456754
20,59438.27279412967
21,45228.565154933574
22,89130.59890165804
23,150506.18999162162
24,20449.677760898165
25,25604.87330069004
26,96607.49607075258
27,196075.26925709445
28,53530.791138481465
29,132828.1089616777
30,110587.66578550752
31,117195.04437746877
32,87421.63701196463
33,71503.67636170838
34,54204.601191431175
35,54507.86613202028
36,156179.2056472251
37,15258.97126816737
38,69522.06968889198
39,159474.22536231385
40,4429.964413886497
41,24003.789586949642
42,98982.00710891401
43,151532.3714535905
44,101300.79428153127
45,190774.59221164236
46,111596.41760712981
47,50584.77883759031
48,117195.04437746877
49,50705.272834900294
50,117338.7308035302
51,64630.93997025424
52,125128.28009890579
53,125528.79726660557
54,94559.75497614013
55,71231.15171886393
56,151803.41753159527
57,152535.25925815813
58,121234.89240882963
59,147510.63648851638
60,121234.89240882963
61,198077.28668505122
62,147510.63648851638
63,142817.33827773767
64,161754.62912903933
65,182054.12548973586
66,182054.12548973586
67,147510.63648851638
68,116541.59419805092
69,90168.44257016559
70,133070.13400762915
71,156478.6718592086
72,83340.75920781595
73,58124.04848480735
74,91768.19756936477
75,120835.49905582686
76,54878.488213332545
77,75924.44992964264
78,105339.89979632842
79,142582.3729720826
80,30817.038214828473
81,43293.987351520875
82,149930.3630567256
83,163123.09089985222
84,99253.05318691883
85,75523.93276194285
86,75523.93276194285
87,151803.41753159527
88,147510.63648851638
89,58527.93801297985
90,85501.86314131712
91,58551.44105079785
92,99807.35020162203
93,72143.98488334991
94,147510.63648851638
95,137227.63948382693
96,47344.93414948757
97,82900.91236508067
98,47639.089031536314
99,149937.30795448256
100,147510.63648851638
101,121234.89240882963
102,121234.89240882963
103,182054.12548973586
104,151803.41753159527
105,39576.382220404324
106,116541.59419805092
